,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
1787,05517000,"YELLOW RIVER AT KNOX, IND.",Non-ref,IN,74029256,0.00017666355820815442,1127.209,1190.3792956857985,5.60413336708618,excellent,0
163,14137000,"SANDY RIVER NEAR MARMOT, OR",Ref,OR,78020238,0.0003975533333573367,674.2395,712.0438459764209,5.606961024446195,excellent,0
605,09505200,"WET BEAVER CREEK NEAR RIMROCK, AZ.",Ref,AZ,77028470,0.00010612965679205119,285.6771,301.7180837362462,5.61507510971169,excellent,0
2576,01545000,"Kettle Creek near Westport, PA",Non-ref,PA,73003473,0.00028464666667105126,604.3059,638.33394442866,5.630930366335989,excellent,0
723,09496500,"CARRIZO CREEK NEAR SHOW LOW, AZ.",Non-ref,AZ,77028320,4.3020376554637106e-05,1143.377,1207.7615352464013,5.631085394091481,excellent,0
58,11376000,COTTONWOOD C NR COTTONWOOD CA,Non-ref,CA,77006564,0.00043130333336449667,2312.529,2442.8375708708427,5.634894562223551,excellent,0
207,14182500,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",Ref,OR,78022486,0.0002465280651997029,286.8498,303.01497794858244,5.635415450379406,excellent,0
623,09480000,"SANTA CRUZ RIVER NEAR LOCHIEL, AZ.",Ref,AZ,77034029,6.74862712259241e-05,213.381,225.41206468856288,5.638301764713296,excellent,0
2288,02313000,"WITHLACOOCHEE RIVER NR HOLDER, FLA.",Non-ref,FL,73021538,0.00011333743189333169,4742.193,4474.038880664453,5.654643734144666,excellent,0
2023,04160600,"BELLE RIVER AT MEMPHIS, MI",Non-ref,MI,72055842,2.8886666640914885e-05,390.8754,412.9997391127475,5.66020248722418,excellent,0
2772,01396500,SOUTH BRANCH RARITAN RIVER NEAR HIGH BRIDGE NJ,Non-ref,NJ,73005792,0.0001964436919394356,162.5247,171.72633293307155,5.661682767647965,excellent,0
1304,05458000,"Little Cedar River near Ionia, IA",Ref,IA,74023263,5.319333333630993e-05,776.7648,820.7821816098207,5.666758021195172,excellent,0
1651,05540130,"WEST BRANCH DU PAGE RIVER NEAR NAPERVILLE, IL",Non-ref,IL,74024503,0.0005559999999888987,319.4865,337.60938893317035,5.672505390108933,excellent,0
268,11318500,SF MOKELUMNE R NR WEST POINT CA,Non-ref,CA,77015293,8.708333329110474e-05,194.247,205.2677470307064,5.673573867656327,excellent,0
